	WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE
2913	lodge	lodged	lodged	lodging
2914	loft	lofted	lofted	lofting
2915	log	logged	logged	logging
2916	loiter	loiterred	loiterred	loiterring
2917	loll	lolled	lolled	lolling
2918	long	longed	longed	longing
2919	look	lookked	lookked	lookking
2920	loom	loommed	loommed	loomming
2921	loop	loopped	loopped	loopping
2922	loose	loosed	loosed	loosing
2923	loosen	loosenned	loosenned	loosenning
2924	loot	lootted	lootted	lootting
2925	lop	lopped	lopped	lopping
2926	lope	loped	loped	loping
2927	lord	lorded	lorded	lording
2928	lose	lost	lost	losing
2929	lounge	lounged	lounged	lounging
2930	lour	lourred	lourred	lourring
2931	love	loved	loved	loving
2932	low	lowed	lowed	lowing
2933	lower	lowerred	lowerred	lowerring
2934	lubricate	lubricated	lubricated	lubricating
2935	luff	luffed	luffed	luffing
2936	lug	lugged	lugged	lugging
2937	lull	lulled	lulled	lulling
2938	lumber	lumberred	lumberred	lumberring
2939	lump	lumped	lumped	lumping
2940	lunch	lunched	lunched	lunching
2941	lunge	lunged	lunged	lunging
2942	lurch	lurched	lurched	lurching
2943	lure	lured	lured	luring
2944	lurk	lurked	lurked	lurking
2945	lust	lusted	lusted	lusting
2946	luxuriate	luxuriated	luxuriated	luxuriating
2947	lynch	lynched	lynched	lynching
2948	macadamize	macadamized	macadamized	macadamizing
2949	macerate	macerated	macerated	macerating
2950	machine	machined	machined	machining
2951	madden	maddenned	maddenned	maddenning
2952	maffick	mafficked	mafficked	mafficking
2953	magnetize	magnetized	magnetized	magnetizing
2954	magnify	magnified	magnified	magnifying
2955	mail	mailled	mailled	mailling
2956	maim	maimmed	maimmed	maimming
2957	maintain	maintainned	maintainned	maintainning
2958	major	majorred	majorred	majorring
2959	make	made	made	making
2960	malfunction	malfunctionned	malfunctionned	malfunctionning
2961	malign	maligned	maligned	maligning
2962	malinger	malingerred	malingerred	malingerring
2963	malt	malted	malted	malting
2964	maltreat	maltreatted	maltreatted	maltreatting
2965	man	manned	manned	manning
2966	manacle	manacled	manacled	manacling
2967	manage	managed	managed	managing
2968	mandate	mandated	mandated	mandating
2969	maneuver	maneuverred	maneuverred	maneuverring
2970	mangle	mangled	mangled	mangling
2971	manhandle	manhandled	manhandled	manhandling
2972	manicure	manicured	manicured	manicuring
2973	manifest	manifested	manifested	manifesting
2974	manifold	manifolded	manifolded	manifolding
2975	manipulate	manipulated	manipulated	manipulating
2976	manoeuvre	manoeuvred	manoeuvred	manoeuvring
2977	mantle	mantled	mantled	mantling
2978	manufacture	manufactured	manufactured	manufacturing
2979	manumit	manumitted	manumitted	manumitting
2980	manure	manured	manured	manuring
2981	map	mapped	mapped	mapping
2982	mar	marred	marred	marring
2983	maraud	maraudded	maraudded	maraudding
2984	march	marched	marched	marching
2985	marinade	marinaded	marinaded	marinading
2986	marinate	marinated	marinated	marinating
2987	mark	marked	marked	marking
2988	market	marketted	marketted	marketting
2989	maroon	maroonned	maroonned	maroonning
2990	marry	married	married	marrying
2991	marshal	marshalled	marshalled	marshalling
2992	martyr	martyred	martyred	martyring
2993	marvel	(marvelled marveled)	(marvelled marveled)	(marvelling marveling)
2994	mash	mashed	mashed	mashing
2995	mask	masked	masked	masking
2996	masquerade	masqueraded	masqueraded	masquerading
2997	mass	massed	massed	massing
2998	mass-produce	mass-produced	mass-produced	mass-producing
2999	massacre	massacred	massacred	massacring
3000	massage	massaged	massaged	massaging
3001	master	masterred	masterred	masterring
3002	mastermind	masterminded	masterminded	masterminding
3003	masticate	masticated	masticated	masticating
3004	masturbate	masturbated	masturbated	masturbating
3005	mat	matted	matted	matting
3006	match	matched	matched	matching
3007	mate	mated	mated	mating
3008	materialize	materialized	materialized	materializing
3009	matriculate	matriculated	matriculated	matriculating
3010	matter	matterred	matterred	matterring
3011	maturate	maturated	maturated	maturating
3012	mature	matured	matured	maturing
3013	maul	maulled	maulled	maulling
3014	maunder	maunderred	maunderred	maunderring
3015	maximise	maximised	maximised	maximising
3016	maximize	maximized	maximized	maximizing
3017	mean	meant	meant	meanning
3018	meander	meanderred	meanderred	meanderring
3019	measure	measured	measured	measuring
3020	mechanize	mechanized	mechanized	mechanizing
3021	meddle	meddled	meddled	meddling
3022	mediate	mediated	mediated	mediating
3023	medicate	medicated	medicated	medicating
3024	meditate	meditated	meditated	meditating
3025	meet	met	met	meetting
3026	meld	melded	melded	melding
3027	meliorate	meliorated	meliorated	meliorating
3028	mellow	mellowed	mellowed	mellowing
3029	melt	melted	melted	melting
3030	memorialize	memorialized	memorialized	memorializing
3031	memorize	memorized	memorized	memorizing
3032	menace	menaced	menaced	menacing
3033	mend	mended	mended	mending
3034	menstruate	menstruated	menstruated	menstruating
3035	mention	mentionned	mentionned	mentionning
3036	merge	merged	merged	merging
3037	merit	meritted	meritted	meritting
3038	mesh	meshed	meshed	meshing
3039	mesmerize	mesmerized	mesmerized	mesmerizing
3040	mess	messed	messed	messing
3041	metal	metalled	metalled	metalling
3042	metamorphose	metamorphosed	metamorphosed	metamorphosing
3043	mete	meted	meted	meting
3044	metricize	metricized	metricized	metricizing
3045	mew	mewed	mewed	mewing
3046	miaou	miaoued	miaoued	miaouing
3047	miaow	miaowed	miaowed	miaowing
3048	microfilm	microfilmed	microfilmed	microfilming
3049	migrate	migrated	migrated	migrating
3050	mildew	mildewed	mildewed	mildewing
3051	militate	militated	militated	militating
3052	milk	milked	milked	milking
3053	mill	milled	milled	milling
3054	mime	mimed	mimed	miming
3055	mimeograph	mimeographed	mimeographed	mimeographing
3056	mimic	mimicked	mimicked	mimicking
3057	mince	minced	minced	mincing
3058	mind	minded	minded	minding
3059	mine	mined	mined	mining
3060	mingle	mingled	mingled	mingling
3061	miniaturize	miniaturized	miniaturized	miniaturizing
3062	minimize	minimized	minimized	minimizing
3063	minister	ministerred	ministerred	ministerring
3064	mint	minted	minted	minting
3065	minute	minuted	minuted	minuting
3066	mire	mired	mired	miring
3067	mirror	mirrorred	mirrorred	mirrorring
3068	misadvise	misadvised	misadvised	misadvising
3069	misapply	misapplied	misapplied	misapplying
3070	misapprehend	misapprehended	misapprehended	misapprehending
3071	misappropriate	misappropriated	misappropriated	misappropriating
3072	misbehave	misbehaved	misbehaved	misbehaving
3073	miscalculate	miscalculated	miscalculated	miscalculating
3074	miscall	miscalled	miscalled	miscalling
3075	miscarry	miscarried	miscarried	miscarrying
3076	miscast	miscast	miscast	miscasting
3077	misconceive	misconceived	misconceived	misconceiving
3078	misconduct	misconducted	misconducted	misconducting
3079	misconstrue	misconstrued	misconstrued	misconstruing
3080	miscount	miscounted	miscounted	miscounting
3081	misdate	misdated	misdated	misdating
3082	misdeal	misdealt	misdealt	misdealling
3083	misdirect	misdirected	misdirected	misdirecting
3084	misfire	misfired	misfired	misfiring
3085	misgovern	misgoverned	misgoverned	misgoverning
3086	misguide	misguided	misguided	misguiding
3087	mishandle	mishandled	mishandled	mishandling
3088	misinform	misinformed	misinformed	misinforming
3089	misinterpret	misinterpretted	misinterpretted	misinterpretting
3090	misjudge	misjudged	misjudged	misjudging
3091	mislay	mislaid	mislaid	mislaying
3092	mislead	misled	misled	misleadding
3093	mismanage	mismanaged	mismanaged	mismanaging
3094	misname	misnamed	misnamed	misnaming
3095	misplace	misplaced	misplaced	misplacing
3096	misprint	misprinted	misprinted	misprinting
3097	mispronounce	mispronounced	mispronounced	mispronouncing
3098	misquote	misquoted	misquoted	misquoting
3099	misread	misread	misread	misreadding
3100	misrepresent	misrepresented	misrepresented	misrepresenting
3101	miss	missed	missed	missing
3102	misspell	misspelled	misspelled	misspelling
3103	misspend	misspent	misspent	misspending
3104	misstate	misstated	misstated	misstating
3105	mist	misted	misted	misting
3106	mistake	mistook	mistaken	mistaking
3107	mistime	mistimed	mistimed	mistiming
3108	mistranslate	mistranslated	mistranslated	mistranslating
3109	mistrust	mistrusted	mistrusted	mistrusting
3110	misunderstand	misunderstood	misunderstood	misunderstanding
3111	misuse	misused	misused	misusing
3112	mitigate	mitigated	mitigated	mitigating
3113	mix	mixed	mixed	mixing
3114	mizzle	mizzled	mizzled	mizzling
3115	moan	moanned	moanned	moanning
3116	mob	mobbed	mobbed	mobbing
3117	mobilize	mobilized	mobilized	mobilizing
3118	mock	mocked	mocked	mocking
3119	model	(modelled modeled)	(modelled modeled)	(modelling modeling)
3120	moderate	moderated	moderated	moderating
3121	modernize	modernized	modernized	modernizing
3122	modify	modified	modified	modifying
3123	modulate	modulated	modulated	modulating
3124	moil	moilled	moilled	moilling
3125	moisten	moistenned	moistenned	moistenning
3126	mold	molded	molded	molding
3127	molder	molderred	molderred	molderring
3128	molest	molested	molested	molesting
3129	mollify	mollified	mollified	mollifying
3130	mollycoddle	mollycoddled	mollycoddled	mollycoddling
3131	molt	molted	molted	molting
3132	monetize	monetized	monetized	monetizing
3133	monitor	monitorred	monitorred	monitorring
3134	monkey	monkeyed	monkeyed	monkeying
3135	monopolize	monopolized	monopolized	monopolizing
3136	moo	mooed	mooed	mooing
3137	mooch	mooched	mooched	mooching
3138	moon	moonned	moonned	moonning
3139	moor	moorred	moorred	moorring
3140	mop	mopped	mopped	mopping
3141	mope	moped	moped	moping
3142	moralize	moralized	moralized	moralizing
3143	mortar	mortarred	mortarred	mortarring
3144	mortgage	mortgaged	mortgaged	mortgaging
3145	mortice	morticed	morticed	morticing
3146	mortify	mortified	mortified	mortifying
3147	mortise	mortised	mortised	mortising
3148	mosey	moseyed	moseyed	moseying
3149	mother	motherred	motherred	motherring
3150	mothproof	mothprooffed	mothprooffed	mothprooffing
3151	motion	motionned	motionned	motionning
3152	motivate	motivated	motivated	motivating
3153	motor	motorred	motorred	motorring
3154	motorize	motorized	motorized	motorizing
3155	mottle	mottled	mottled	mottling
3156	mould	moulded	moulded	moulding
3157	moulder	moulderred	moulderred	moulderring
3158	moult	moulted	moulted	moulting
3159	mount	mounted	mounted	mounting
3160	mourn	mourned	mourned	mourning
3161	mouse	moused	moused	mousing
3162	mouth	mouthed	mouthed	mouthing
3163	move	moved	moved	moving
3164	mow	mowed	mowed	mowing
3165	muck	mucked	mucked	mucking
3166	mud	mudded	mudded	mudding
3167	muddle	muddled	muddled	muddling
3168	muddy	muddied	muddied	muddying
3169	muff	muffed	muffed	muffing
3170	muffle	muffled	muffled	muffling
3171	mug	mugged	mugged	mugging
3172	mulch	mulched	mulched	mulching
3173	mull	mulled	mulled	mulling
3174	multiply	multiplied	multiplied	multiplying
3175	mumble	mumbled	mumbled	mumbling
3176	mummify	mummified	mummified	mummifying
3177	munch	munched	munched	munching
3178	munition	munitionned	munitionned	munitionning
3179	murder	murderred	murderred	murderring
3180	murmur	murmurred	murmurred	murmurring
3181	muscle	muscled	muscled	muscling
3182	muse	mused	mused	musing
3183	mushroom	mushroommed	mushroommed	mushroomming
3184	muss	mussed	mussed	mussing
3185	muster	musterred	musterred	musterring
3186	mute	muted	muted	muting
3187	mutilate	mutilated	mutilated	mutilating
3188	mutiny	mutinied	mutinied	mutinying
3189	mutter	mutterred	mutterred	mutterring
3190	muzzle	muzzled	muzzled	muzzling
3191	mystify	mystified	mystified	mystifying
3192	nab	nabbed	nabbed	nabbing
3193	nag	nagged	nagged	nagging
3194	nail	nailled	nailled	nailling
3195	name	named	named	naming
3196	name-drop	name-dropped	name-dropped	name-dropping
3197	nap	napped	napped	napping
3198	narrate	narrated	narrated	narrating
3199	narrow	narrowed	narrowed	narrowing
3200	nasalize	nasalized	nasalized	nasalizing
3201	nationalize	nationalized	nationalized	nationalizing
3202	natter	natterred	natterred	natterring
3203	naturalize	naturalized	naturalized	naturalizing
3204	nauseate	nauseated	nauseated	nauseating
3205	navigate	navigated	navigated	navigating
3206	near	nearred	nearred	nearring
3207	necessitate	necessitated	necessitated	necessitating
3208	neck	necked	necked	necking
3209	need	needded	needded	needding
3210	needle	needled	needled	needling
3211	negate	negated	negated	negating
3212	neglect	neglected	neglected	neglecting
3213	negotiate	negotiated	negotiated	negotiating
3214	neigh	neighed	neighed	neighing
3215	neighbor	neighborred	neighborred	neighborring
3216	neighbour	neighbourred	neighbourred	neighbourring
3217	nest	nested	nested	nesting
3218	nestle	nestled	nestled	nestling
3219	net	netted	netted	netting
3220	nettle	nettled	nettled	nettling
3221	neuter	neuterred	neuterred	neuterring
3222	neutralize	neutralized	neutralized	neutralizing
3223	nibble	nibbled	nibbled	nibbling
3224	nick	nicked	nicked	nicking
3225	nickel	nickelled	nickelled	nickelling
3226	nickname	nicknamed	nicknamed	nicknaming
3227	niggle	niggled	niggled	niggling
3228	nip	nipped	nipped	nipping
3229	nod	nodded	nodded	nodding
3230	nominate	nominated	nominated	nominating
3231	nonplus	(nonplused nonplussed)	(nonplused nonplussed)	(nonplusing nonplussing)
3232	noose	noosed	noosed	noosing
3233	normalize	normalized	normalized	normalizing
3234	nose	nosed	nosed	nosing
3235	nosedive	nosedived	nosedived	nosediving
3236	nosh	noshed	noshed	noshing
3237	notch	notched	notched	notching
3238	note	noted	noted	noting
3239	notice	noticed	noticed	noticing
3240	notify	notified	notified	notifying
3241	nourish	nourished	nourished	nourishing
3242	nudge	nudged	nudged	nudging
3243	nullify	nullified	nullified	nullifying
3244	numb	numbed	numbed	numbing
3245	number	numberred	numberred	numberring
3246	nurse	nursed	nursed	nursing
3247	nurture	nurtured	nurtured	nurturing
3248	nuzzle	nuzzled	nuzzled	nuzzling
3249	obey	obeyed	obeyed	obeying
3250	obfuscate	obfuscated	obfuscated	obfuscating
3251	object	objected	objected	objecting
3252	obligate	obligated	obligated	obligating
3253	oblige	obliged	obliged	obliging
3254	obliterate	obliterated	obliterated	obliterating
3255	obscure	obscured	obscured	obscuring
3256	observe	observed	observed	observing
3257	obsess	obsessed	obsessed	obsessing
3258	obstruct	obstructed	obstructed	obstructing
3259	obtain	obtainned	obtainned	obtainning
3260	obtrude	obtruded	obtruded	obtruding
3261	obviate	obviated	obviated	obviating
3262	occasion	occasionned	occasionned	occasionning
3263	occupy	occupied	occupied	occupying
3264	occur	occurred	occurred	occurring
3265	offend	offended	offended	offending
3266	offer	offerred	offerred	offerring
3267	officiate	officiated	officiated	officiating
3268	offset	offset	offset	offsetting
3269	ogle	ogled	ogled	ogling
3270	oil	oilled	oilled	oilling
3271	okay	okayed	okayed	okaying
3272	omen	omenned	omenned	omenning
3273	omit	omitted	omitted	omitting
3274	ooze	oozed	oozed	oozing
3275	open	openned	openned	openning
3276	operate	operated	operated	operating
3277	opine	opined	opined	opining
3278	oppose	opposed	opposed	opposing
3279	oppress	oppressed	oppressed	oppressing
3280	opt	opted	opted	opting
3281	orate	orated	orated	orating
3282	orbit	orbitted	orbitted	orbitting
3283	orchestrate	orchestrated	orchestrated	orchestrating
3284	ordain	ordainned	ordainned	ordainning
3285	order	orderred	orderred	orderring
3286	organize	organized	organized	organizing
3287	orient	oriented	oriented	orienting
3288	orientate	orientated	orientated	orientating
3289	originate	originated	originated	originating
3290	ornament	ornamented	ornamented	ornamenting
3291	orphan	orphanned	orphanned	orphanning
3292	oscillate	oscillated	oscillated	oscillating
3293	ossify	ossified	ossified	ossifying
3294	ostracize	ostracized	ostracized	ostracizing
3295	ought	*NONE*	*NONE*	*NONE*
3296	oust	ousted	ousted	ousting
3297	outbid	outbid	outbid	outbidding
3298	outbrave	outbraved	outbraved	outbraving
3299	outclass	outclassed	outclassed	outclassing
3300	outdistance	outdistanced	outdistanced	outdistancing
3301	outdo	outdid	outdone	outdoing
3302	outface	outfaced	outfaced	outfacing
3303	outfight	outfought	outfought	outfighting
3304	outfit	outfitted	outfitted	outfitting
3305	outflank	outflanked	outflanked	outflanking
3306	outfox	outfoxed	outfoxed	outfoxing
3307	outgrow	outgrew	outgrown	outgrowing
3308	outlast	outlasted	outlasted	outlasting
3309	outlaw	outlawed	outlawed	outlawing
3310	outline	outlined	outlined	outlining
3311	outlive	outlived	outlived	outliving
3312	outmaneuver	outmaneuverred	outmaneuverred	outmaneuverring
3313	outmanoeuvre	outmanoeuvred	outmanoeuvred	outmanoeuvring
3314	outmarch	outmarched	outmarched	outmarching
3315	outmatch	outmatched	outmatched	outmatching
3316	outnumber	outnumberred	outnumberred	outnumberring
3317	outpace	outpaced	outpaced	outpacing
3318	outperform	outperformed	outperformed	outperforming
3319	outplay	outplayed	outplayed	outplaying
3320	outpoint	outpointed	outpointed	outpointing
3321	outrage	outraged	outraged	outraging
3322	outrange	outranged	outranged	outranging
3323	outrank	outranked	outranked	outranking
3324	outride	outrode	outridden	outriding
3325	outrun	outran	outrun	outrunning
3326	outsail	outsailled	outsailled	outsailling
3327	outshine	outshone	outshone	outshining
3328	outsmart	outsmarted	outsmarted	outsmarting
3329	outstay	outstayed	outstayed	outstaying
3330	outstrip	outstripped	outstripped	outstripping
3331	outvie	outvied	outvied	outviing
3332	outvote	outvoted	outvoted	outvoting
3333	outwear	outwore	outworn	outwearring
3334	outweigh	outweighed	outweighed	outweighing
3335	outwit	outwitted	outwitted	outwitting
3336	overact	overacted	overacted	overacting
3337	overarch	overarched	overarched	overarching
3338	overawe	overawed	overawed	overawing
3339	overbalance	overbalanced	overbalanced	overbalancing
3340	overbear	overbore	overborne	overbearring
3341	overbid	overbid	overbid	overbidding
3342	overbuild	overbuilt	overbuilt	overbuilding
3343	overburden	overburdenned	overburdenned	overburdenning
3344	overbuy	overbought	overbought	overbuying
3345	overcharge	overcharged	overcharged	overcharging
3346	overclothe	overclothed	overclothed	overclothing
3347	overcloud	overcloudded	overcloudded	overcloudding
3348	overcome	overcame	overcome	overcoming
3349	overcook	overcookked	overcookked	overcookking
3350	overcrop	overcropped	overcropped	overcropping
3351	overcrowd	overcrowded	overcrowded	overcrowding
3352	overdo	overdid	overdone	overdoing
3353	overdraw	overdrew	overdrawn	overdrawing
3354	overdress	overdressed	overdressed	overdressing
3355	overeat	overate	overeaten	overeatting
3356	overemphasize	overemphasized	overemphasized	overemphasizing
3357	overestimate	overestimated	overestimated	overestimating
3358	overexert	overexerted	overexerted	overexerting
3359	overexpose	overexposed	overexposed	overexposing
3360	overfeed	overfeedded	overfeedded	overfeedding
3361	overflow	overflowed	overflowed	overflowing
3362	overfly	overflew	overflown	overflying
3363	overhang	overhung	overhung	overhanging
3364	overhaul	overhaulled	overhaulled	overhaulling
3365	overhear	overheard	overheard	overhearring
3366	overheat	overheatted	overheatted	overheatting
3367	overindulge	overindulged	overindulged	overindulging
3368	overlap	overlapped	overlapped	overlapping
3369	overlay	overlaid	overlaid	overlaying
3370	overleap	overleapped	overleapped	overleapping
3371	overlie	overlay	overlain	overlying
3372	overload	overloadded	overloadded	overloadding
3373	overlook	overlookked	overlookked	overlookking
3374	overmaster	overmasterred	overmasterred	overmasterring
3375	overpay	overpaid	overpaid	overpaying
3376	overplay	overplayed	overplayed	overplaying
3377	overpower	overpowerred	overpowerred	overpowerring
3378	overpraise	overpraised	overpraised	overpraising
3379	overprint	overprinted	overprinted	overprinting
3380	overproduce	overproduced	overproduced	overproducing
3381	overrate	overrated	overrated	overrating
3382	overreach	overreached	overreached	overreaching
3383	overreact	overreacted	overreacted	overreacting
3384	override	overrode	overridden	overriding
3385	overrule	overruled	overruled	overruling
3386	overrun	overran	overrun	overrunning
3387	oversee	oversaw	overseen	overseeing
3388	overshadow	overshadowed	overshadowed	overshadowing
3389	overshoot	overshot	overshot	overshootting
3390	oversimplify	oversimplified	oversimplified	oversimplifying
3391	oversleep	overslept	overslept	oversleepping
3392	overspend	overspent	overspent	overspending
3393	overstate	overstated	overstated	overstating
3394	overstay	overstayed	overstayed	overstaying
3395	overstep	overstepped	overstepped	overstepping
3396	overstock	overstocked	overstocked	overstocking
3397	overstrain	overstrainned	overstrainned	overstrainning
3398	overtake	overtook	overtaken	overtaking
3399	overtax	overtaxed	overtaxed	overtaxing
3400	overthrow	overthrew	overthrown	overthrowing
3401	overtop	overtopped	overtopped	overtopping
3402	overtrump	overtrumped	overtrumped	overtrumping
3403	overturn	overturned	overturned	overturning
3404	overvalue	overvalued	overvalued	overvaluing
3405	overwhelm	overwhelmed	overwhelmed	overwhelming
3406	overwork	overworked	overworked	overworking
3407	owe	owed	owed	owing
3408	own	owned	owned	owning
3409	oxidize	oxidized	oxidized	oxidizing
3410	oxygenate	oxygenated	oxygenated	oxygenating
3411	oxygenize	oxygenized	oxygenized	oxygenizing
3412	pace	paced	paced	pacing
3413	pacify	pacified	pacified	pacifying
3414	pack	packed	packed	packing
3415	package	packaged	packaged	packaging
3416	pad	padded	padded	padding
3417	paddle	paddled	paddled	paddling
3418	padlock	padlocked	padlocked	padlocking
3419	page	paged	paged	paging
3420	pain	painned	painned	painning
3421	paint	painted	painted	painting
3422	pair	pairred	pairred	pairring
3423	pal	palled	palled	palling
3424	palaver	palaverred	palaverred	palaverring
3425	pale	paled	paled	paling
3426	pall	palled	palled	palling
3427	palliate	palliated	palliated	palliating
3428	palm	palmed	palmed	palming
3429	palpitate	palpitated	palpitated	palpitating
3430	palsy	palsied	palsied	palsying
3431	palter	palterred	palterred	palterring
3432	pamper	pamperred	pamperred	pamperring
3433	pan	panned	panned	panning
3434	pander	panderred	panderred	panderring
3435	panel	(panelled paneled)	(panelled paneled)	(panelling paneling)
3436	panhandle	panhandled	panhandled	panhandling
3437	panic	panicked	panicked	panicking
3438	pant	panted	panted	panting
3439	paper	paperred	paperred	paperring
3440	parachute	parachuted	parachuted	parachuting
3441	parade	paraded	paraded	parading
3442	parallel	parallelled	parallelled	parallelling
3443	paralyse	paralysed	paralysed	paralysing
3444	paralyze	paralyzed	paralyzed	paralyzing
3445	paraphrase	paraphrased	paraphrased	paraphrasing
3446	parboil	parboilled	parboilled	parboilling
3447	parcel	(parcelled parceled)	(parcelled parceled)	(parcelling parceling)
3448	parch	parched	parched	parching
3449	pardon	pardonned	pardonned	pardonning
3450	pare	pared	pared	paring
3451	park	parked	parked	parking
3452	parley	parleyed	parleyed	parleying
3453	parody	parodied	parodied	parodying
3454	parole	paroled	paroled	paroling
3455	parry	parried	parried	parrying
3456	parse	parsed	parsed	parsing
3457	part	parted	parted	parting
3458	partake	partook	partaken	partaking
3459	participate	participated	participated	participating
3460	particularize	particularized	particularized	particularizing
3461	partition	partitionned	partitionned	partitionning
3462	partner	partnerred	partnerred	partnerring
3463	pass	passed	passed	passing
3464	paste	pasted	pasted	pasting
3465	pasteurize	pasteurized	pasteurized	pasteurizing
3466	pasture	pastured	pastured	pasturing
3467	pat	patted	patted	patting
3468	patch	patched	patched	patching
3469	patent	patented	patented	patenting
3470	patrol	patrolled	patrolled	patrolling
3471	patronize	patronized	patronized	patronizing
3472	patter	patterred	patterred	patterring
3473	pattern	patterned	patterned	patterning
3474	pauperize	pauperized	pauperized	pauperizing
3475	pause	paused	paused	pausing
3476	pave	paved	paved	paving
3477	paw	pawed	pawed	pawing
3478	pawn	pawned	pawned	pawning
3479	pay	paid	paid	paying
3480	peak	peakked	peakked	peakking
3481	peal	pealled	pealled	pealling
3482	pearl	pearled	pearled	pearling
3483	peck	pecked	pecked	pecking
3484	peculate	peculated	peculated	peculating
3485	pedal	pedalled	pedalled	pedalling
3486	peddle	peddled	peddled	peddling
3487	pee	peed	peed	peeing
3488	peek	peekked	peekked	peekking
3489	peel	peelled	peelled	peelling
3490	peep	peepped	peepped	peepping
3491	peer	peerred	peerred	peerring
3492	peeve	peeved	peeved	peeving
3493	peg	pegged	pegged	pegging
3494	pelletize	pelletized	pelletized	pelletizing
3495	pelt	pelted	pelted	pelting
3496	pen	penned	penned	penning
3497	penalize	penalized	penalized	penalizing
3498	pencil	pencilled	pencilled	pencilling
3499	penetrate	penetrated	penetrated	penetrating
3500	pension	pensionned	pensionned	pensionning
3501	people	peopled	peopled	peopling
3502	pep	pepped	pepped	pepping
3503	pepper	pepperred	pepperred	pepperring
3504	perambulate	perambulated	perambulated	perambulating
3505	perceive	perceived	perceived	perceiving
3506	perch	perched	perched	perching
3507	percolate	percolated	percolated	percolating
3508	perfect	perfected	perfected	perfecting
3509	perforate	perforated	perforated	perforating
3510	perform	performed	performed	performing
3511	perfume	perfumed	perfumed	perfuming
3512	peril	perilled	perilled	perilling
3513	perish	perished	perished	perishing
3514	perjure	perjured	perjured	perjuring
3515	perk	perked	perked	perking
3516	perm	permed	permed	perming
3517	permeate	permeated	permeated	permeating
3518	permit	permitted	permitted	permitting
3519	permute	permuted	permuted	permuting
3520	perpetrate	perpetrated	perpetrated	perpetrating
3521	perpetuate	perpetuated	perpetuated	perpetuating
3522	perplex	perplexed	perplexed	perplexing
3523	persecute	persecuted	persecuted	persecuting
3524	persevere	persevered	persevered	persevering
3525	persist	persisted	persisted	persisting
3526	personalize	personalized	personalized	personalizing
3527	personate	personated	personated	personating
3528	personify	personified	personified	personifying
3529	perspire	perspired	perspired	perspiring
3530	persuade	persuaded	persuaded	persuading
3531	pertain	pertainned	pertainned	pertainning
3532	perturb	perturbed	perturbed	perturbing
3533	peruse	perused	perused	perusing
3534	pervade	pervaded	pervaded	pervading
3535	pervert	perverted	perverted	perverting
3536	pester	pesterred	pesterred	pesterring
3537	pestle	pestled	pestled	pestling
3538	pet	petted	petted	petting
3539	peter	peterred	peterred	peterring
3540	petition	petitionned	petitionned	petitionning
3541	petrify	petrified	petrified	petrifying
3542	phase	phased	phased	phasing
3543	philander	philanderred	philanderred	philanderring
3544	philosophize	philosophized	philosophized	philosophizing
3545	phone	phoned	phoned	phoning
3546	photocopy	photocopied	photocopied	photocopying
3547	photograph	photographed	photographed	photographing
3548	photosensitize	photosensitized	photosensitized	photosensitizing
3549	photostat	photostatted	photostatted	photostatting
3550	phrase	phrased	phrased	phrasing
3551	pick	picked	picked	picking
3552	picket	picketted	picketted	picketting
3553	pickle	pickled	pickled	pickling
3554	picnic	picnicked	picnicked	picnicking
3555	picture	pictured	pictured	picturing
3556	piddle	piddled	piddled	piddling
3557	piece	pieced	pieced	piecing
3558	pierce	pierced	pierced	piercing
3559	piffle	piffled	piffled	piffling
3560	pig	pigged	pigged	pigging
3561	pigeonhole	pigeonholed	pigeonholed	pigeonholing
3562	pile	piled	piled	piling
3563	pilfer	pilferred	pilferred	pilferring
3564	pillage	pillaged	pillaged	pillaging
3565	pillow	pillowed	pillowed	pillowing
3566	pilot	pilotted	pilotted	pilotting
3567	pimp	pimped	pimped	pimping
3568	pin	pinned	pinned	pinning
3569	pinch	pinched	pinched	pinching
3570	pine	pined	pined	pining
3571	ping	pinged	pinged	pinging
3572	pinion	pinionned	pinionned	pinionning
3573	pinnacle	pinnacled	pinnacled	pinnacling
3574	pinpoint	pinpointed	pinpointed	pinpointing
3575	pioneer	pioneerred	pioneerred	pioneerring
3576	pip	pipped	pipped	pipping
3577	pipe	piped	piped	piping
3578	pique	piqued	piqued	piquing
3579	pirate	pirated	pirated	pirating
3580	pirouette	pirouetted	pirouetted	pirouetting
3581	piss	pissed	pissed	pissing
3582	pit	pitted	pitted	pitting
3583	pitch	pitched	pitched	pitching
3584	pitchfork	pitchforked	pitchforked	pitchforking
3585	pity	pitied	pitied	pitying
3586	pivot	pivotted	pivotted	pivotting
3587	placard	placarded	placarded	placarding
3588	placate	placated	placated	placating
3589	place	placed	placed	placing
3590	plagiarize	plagiarized	plagiarized	plagiarizing
3591	plague	plagued	plagued	plaguing
3592	plait	plaitted	plaitted	plaitting
3593	plan	planned	planned	planning
3594	plane	planed	planed	planing
3595	plank	planked	planked	planking
3596	plant	planted	planted	planting
3597	plash	plashed	plashed	plashing
3598	plaster	plasterred	plasterred	plasterring
3599	plate	plated	plated	plating
3600	play	played	played	playing
3601	pleach	pleached	pleached	pleaching
3602	plead	pleadded	pleadded	pleadding
3603	please	pleased	pleased	pleasing
3604	pleat	pleatted	pleatted	pleatting
3605	pledge	pledged	pledged	pledging
